Time,Flow Set Point,Flow Measured Value,Pump Output,Flow PG,Flow I,Flow D,PID Area
36.411,1.5,1.49,37.65,1.2,0.8,0.2,1
36.504,1.5,1.51,35.29,1.2,0.8,0.2,1
36.613,1.5,1.49,37.65,1.2,0.8,0.2,1
36.707,1.5,1.49,36.86,1.2,0.8,0.2,1
36.801,1.5,1.51,35.29,1.2,0.8,0.2,1
36.91,1.5,1.51,36.47,1.2,0.8,0.2,1
37.003,1.5,1.49,38.04,1.2,0.8,0.2,1
37.113,1.5,1.49,36.86,1.2,0.8,0.2,1
37.206,1.5,1.49,36.86,1.2,0.8,0.2,1
37.315,1.5,1.51,35.69,1.2,0.8,0.2,1
37.409,1.5,1.49,38.04,1.2,0.8,0.2,1
37.503,1.5,1.51,35.29,1.2,0.8,0.2,1
37.612,1.5,1.51,36.47,1.2,0.8,0.2,1
37.705,1.5,1.51,36.47,1.2,0.8,0.2,1
37.815,1.5,1.51,36.47,1.2,0.8,0.2,1
37.908,1.5,1.49,37.65,1.2,0.8,0.2,1
38.002,1.5,1.51,35.29,1.2,0.8,0.2,1
38.111,1.5,1.51,36.08,1.2,0.8,0.2,1
38.205,1.5,1.49,37.65,1.2,0.8,0.2,1
38.314,1.5,1.49,36.86,1.2,0.8,0.2,1
38.407,1.5,1.49,36.86,1.2,0.8,0.2,1
38.501,1.5,1.51,35.29,1.2,0.8,0.2,1
38.61,1.5,1.49,37.65,1.2,0.8,0.2,1
38.704,1.5,1.49,36.86,1.2,0.8,0.2,1
38.813,1.5,1.51,35.69,1.2,0.8,0.2,1
38.907,1.5,1.49,38.04,1.2,0.8,0.2,1
39.016,1.5,1.49,36.86,1.2,0.8,0.2,1
39.109,1.5,1.49,36.86,1.2,0.8,0.2,1
39.203,1.5,1.49,36.86,1.2,0.8,0.2,1
39.312,1.5,1.49,36.86,1.2,0.8,0.2,1
39.406,1.5,1.51,35.29,1.2,0.8,0.2,1
39.515,1.5,1.51,36.47,1.2,0.8,0.2,1
39.609,1.5,1.51,36.47,1.2,0.8,0.2,1
39.702,1.5,1.51,36.47,1.2,0.8,0.2,1
39.811,1.5,1.49,37.65,1.2,0.8,0.2,1
39.905,1.5,1.49,36.86,1.2,0.8,0.2,1
40.014,1.5,1.49,36.86,1.2,0.8,0.2,1
40.108,1.5,1.49,36.86,1.2,0.8,0.2,1
40.201,1.5,1.51,35.29,1.2,0.8,0.2,1
